# step rank resident
# 217 mean resident memory: 1057298.000000, balance: 0.414963
219 0 1183400
219 1 899708
219 2 1026436
219 3 1097564
219 4 1275840
219 5 835476
219 6 1029516
219 7 1107944
# 219 mean resident memory: 1056985.500000, balance: 0.416623
221 0 1191484
221 1 902296
221 2 1032316
221 3 1097300
221 4 1284176
221 5 836468
221 6 1035996
221 7 1107916
# 221 mean resident memory: 1060994.000000, balance: 0.421970
223 0 1210920
223 1 909176
223 2 1031640
223 3 1097452
223 4 1306144
223 5 838656
223 6 1037252
223 7 1110264
# 223 mean resident memory: 1067688.000000, balance: 0.437851
225 0 1215020
225 1 910444
225 2 1035608
225 3 1097316
225 4 1303428
225 5 841920
225 6 1041916
225 7 1111628
# 225 mean resident memory: 1069660.000000, balance: 0.431453
227 0 1196432
227 1 911564
227 2 1030820
227 3 1099500
227 4 1299056
227 5 841752
227 6 1042108
227 7 1112112
# 227 mean resident memory: 1066668.000000, balance: 0.428722
229 0 1197684
229 1 915384
229 2 1035788
229 3 1094888
229 4 1300628
229 5 843080
229 6 1046780
229 7 1111672
# 229 mean resident memory: 1068238.000000, balance: 0.428320
231 0 1220372
231 1 921720
231 2 1033920
231 3 1095380
231 4 1309148
231 5 844944
231 6 1047612
231 7 1113328
# 231 mean resident memory: 1073303.000000, balance: 0.432500
233 0 1200820
233 1 926772
233 2 1041448
233 3 1095328
233 4 1308912
233 5 844796
233 6 1053424
233 7 1111052
# 233 mean resident memory: 1072819.000000, balance: 0.432614
235 0 1196560
235 1 925884
235 2 1037352
235 3 1097372
235 4 1314860
235 5 847136
235 6 1052848
235 7 1108156
# 235 mean resident memory: 1072521.000000, balance: 0.436098
237 0 1200804
237 1 928456
237 2 1044144
237 3 1097084
237 4 1316720
237 5 849700
237 6 1059244
237 7 1108180
# 237 mean resident memory: 1075541.500000, balance: 0.434218
239 0 1206556
239 1 932556
239 2 1043344
239 3 1097464
239 4 1324972
239 5 852220
239 6 1051268
239 7 1107800
# 239 mean resident memory: 1077022.500000, balance: 0.438943
241 0 1219176
241 1 933448
241 2 1050760
241 3 1094508
241 4 1325580
241 5 856136
241 6 1060156
241 7 1108084
# 241 mean resident memory: 1080981.000000, balance: 0.434276
243 0 1222356
243 1 937272
243 2 1048212
243 3 1099912
243 4 1332388
243 5 860796
243 6 1058952
243 7 1109056
# 243 mean resident memory: 1083618.000000, balance: 0.435201
245 0 1221072
245 1 943828
245 2 1051584
245 3 1099976
245 4 1334736
245 5 858184
245 6 1060704
245 7 1112012
# 245 mean resident memory: 1085262.000000, balance: 0.439112
247 0 1226444
247 1 946900
247 2 1056072
247 3 1104352
247 4 1333712
247 5 860024
247 6 1060660
247 7 1120856
# 247 mean resident memory: 1088627.500000, balance: 0.435124
249 0 1229128
249 1 950684
249 2 1059964
249 3 1102752
249 4 1342064
249 5 858036
249 6 1063860
249 7 1124420
# 249 mean resident memory: 1091363.500000, balance: 0.443508
251 0 1232648
251 1 955508
251 2 1056944
251 3 1108348
251 4 1341048
251 5 861264
251 6 1062300
251 7 1124976
# 251 mean resident memory: 1092879.500000, balance: 0.439009
253 0 1243572
253 1 951872
253 2 1063612
253 3 1108296
253 4 1348884
253 5 861040
253 6 1070804
253 7 1126624
# 253 mean resident memory: 1096838.000000, balance: 0.444773
255 0 1247048
255 1 954488
255 2 1063296
255 3 1108452
255 4 1368452
255 5 863160
255 6 1073624
255 7 1129696
# 255 mean resident memory: 1101027.000000, balance: 0.458928
257 0 1251740
257 1 954544
257 2 1066716
257 3 1111024
257 4 1376784
257 5 865760
257 6 1077416
257 7 1129716
# 257 mean resident memory: 1104212.500000, balance: 0.462795
259 0 1262984
259 1 956612
259 2 1064924
259 3 1112456
259 4 1383056
259 5 870436
259 6 1079272
259 7 1132008
# 259 mean resident memory: 1107718.500000, balance: 0.462771
261 0 1272960
261 1 961216
261 2 1069392
261 3 1120568
261 4 1382456
261 5 875108
261 6 1080288
261 7 1137676
# 261 mean resident memory: 1112458.000000, balance: 0.456060
263 0 1282976
263 1 965124
263 2 1069272
263 3 1124140
263 4 1378836
263 5 877116
263 6 1086184
263 7 1138400
# 263 mean resident memory: 1115256.000000, balance: 0.449870
265 0 1291420
265 1 968412
265 2 1076716
265 3 1132012
265 4 1384192
265 5 876796
265 6 1091328
265 7 1141048
# 265 mean resident memory: 1120240.500000, balance: 0.452935
267 0 1295724
267 1 968360
267 2 1072396
267 3 1133560
267 4 1384692
267 5 876796
267 6 1094880
267 7 1142336
# 267 mean resident memory: 1121093.000000, balance: 0.453036
269 0 1285968
269 1 970808
269 2 1061608
269 3 1124944
269 4 1376376
269 5 876984
269 6 1080644
269 7 1141928
# 269 mean resident memory: 1114907.500000, balance: 0.447922
271 0 1290140
271 1 970724
271 2 1063468
271 3 1124012
271 4 1379124
271 5 878284
271 6 1076964
271 7 1142556
# 271 mean resident memory: 1115659.000000, balance: 0.448919
273 0 1292352
273 1 970560
273 2 1066044
273 3 1126408
273 4 1383220
273 5 878300
273 6 1080272
273 7 1142844
# 273 mean resident memory: 1117500.000000, balance: 0.451830
275 0 1295724
275 1 966788
275 2 1063572
275 3 1127332
275 4 1386744
275 5 875272
275 6 1091160
275 7 1144484
# 275 mean resident memory: 1118884.500000, balance: 0.457127
277 0 1298188
277 1 969240
277 2 1063960
277 3 1129748
277 4 1391508
277 5 876364
277 6 1087700
277 7 1144120
# 277 mean resident memory: 1120103.500000, balance: 0.459907
279 0 1299708
279 1 969180
279 2 1064236
279 3 1131236
279 4 1398132
279 5 876364
279 6 1079952
279 7 1141564
# 279 mean resident memory: 1120046.500000, balance: 0.465845
281 0 1303916
281 1 969184
281 2 1065920
281 3 1136600
281 4 1404860
281 5 876368
281 6 1094100
281 7 1144648
# 281 mean resident memory: 1124449.500000, balance: 0.470001
283 0 1308612
283 1 972496
283 2 1066160
283 3 1137280
283 4 1409340
283 5 877704
283 6 1085108
283 7 1145060
# 283 mean resident memory: 1125220.000000, balance: 0.472473
285 0 1317600
285 1 971988
285 2 1066028
285 3 1137128
285 4 1407076
285 5 877708
285 6 1097964
285 7 1142840
# 285 mean resident memory: 1127291.500000, balance: 0.469593
287 0 1318616
287 1 971916
287 2 1067624
287 3 1135312
287 4 1418088
287 5 879760
287 6 1094484
287 7 1142452
# 287 mean resident memory: 1128531.500000, balance: 0.477016
289 0 1321548
289 1 967448
289 2 1076984
289 3 1135176
289 4 1421960
289 5 879764
289 6 1090184
289 7 1144432
# 289 mean resident memory: 1129687.000000, balance: 0.479952
291 0 1323264
291 1 965500
291 2 1076600
291 3 1136808
291 4 1428900
291 5 872232
291 6 1086512
291 7 1145052
# 291 mean resident memory: 1129358.500000, balance: 0.492906
293 0 1329776
293 1 964344
293 2 1077876
293 3 1136004
293 4 1429376
293 5 874220
293 6 1091052
293 7 1143076
# 293 mean resident memory: 1130715.500000, balance: 0.490978
295 0 1327236
295 1 967804
295 2 1078160
295 3 1138420
295 4 1430104
295 5 874676
295 6 1094684
295 7 1144580
# 295 mean resident memory: 1131958.000000, balance: 0.490679
297 0 1327976
297 1 969024
297 2 1080204
297 3 1142180
297 4 1424036
297 5 876620
297 6 1091480
297 7 1141928
# 297 mean resident memory: 1131681.000000, balance: 0.483719
299 0 1328008
299 1 970060
299 2 1081596
299 3 1143772
299 4 1427988
299 5 880500
299 6 1088720
299 7 1143980
# 299 mean resident memory: 1133078.000000, balance: 0.483187
301 0 1328316
301 1 971056
301 2 1080608
301 3 1145528
301 4 1426608
301 5 880624
301 6 1093252
301 7 1144300
# 301 mean resident memory: 1133786.500000, balance: 0.481558
303 0 1333444
303 1 971104
303 2 1078832
303 3 1145984
303 4 1429604
303 5 883312
303 6 1089800
303 7 1146728
# 303 mean resident memory: 1134851.000000, balance: 0.481378
305 0 1336940
305 1 973776
305 2 1079572
305 3 1145852
305 4 1443368
305 5 885492
305 6 1091696
305 7 1147108
# 305 mean resident memory: 1137975.500000, balance: 0.490236
307 0 1338236
307 1 971368
307 2 1079828
307 3 1148184
307 4 1448068
307 5 885636
307 6 1094744
307 7 1160596
# 307 mean resident memory: 1140832.500000, balance: 0.493001
309 0 1338296
309 1 972064
309 2 1080068
309 3 1149564
309 4 1452104
309 5 885636
309 6 1104140
309 7 1156656
# 309 mean resident memory: 1142316.000000, balance: 0.495894
311 0 1341100
311 1 991396
311 2 1077496
311 3 1161768
311 4 1449224
311 5 899504
311 6 1104192
311 7 1163544
# 311 mean resident memory: 1148528.000000, balance: 0.478630
313 0 1344188
313 1 993412
313 2 1080136
313 3 1167180
313 4 1457272
313 5 904224
313 6 1105384
313 7 1170868
# 313 mean resident memory: 1152833.000000, balance: 0.479730
315 0 1343680
315 1 1000380
315 2 1077920
315 3 1166832
315 4 1459448
315 5 910988
315 6 1104196
315 7 1175884
# 315 mean resident memory: 1154916.000000, balance: 0.474892
317 0 1350028
317 1 1000136
317 2 1094004
317 3 1174672
317 4 1461192
317 5 916460
317 6 1098680
317 7 1178840
# 317 mean resident memory: 1159251.500000, balance: 0.469900
319 0 1237508
319 1 883268
319 2 961980
319 3 1094116
319 4 1345320
319 5 799888
319 6 979056
319 7 1074580
